Method,final_score,adjusted_qwk,special_category_recognition
PHORA+ v2 full,0.5054297040968992,0.4960397906285744,0.5586392137507401
w/o concept + burden distillation,0.3917729271138981,0.37645526393258444,0.4785730184746757
w/o factorized special gate,0.5068143780790849,0.5034214547535217,0.5260409435906098
w/o all-threshold ordinal expert,0.5086123479639374,0.4973668538418323,0.5723368146558664
w/o clinical constraints,0.3362661895341936,0.29304723741391825,0.5811735848824207
w/o nested feature screening,0.4031013746176595,0.37954205063998925,0.5366042104911243
w/o spatial burden distillation,0.4091799793567904,0.38701395556123197,0.5347874475316218
