Feature set,n_features,final_score,adjusted_qwk,special_category_recognition
Morphology only,37,0.482392003150398,0.4733859615327123,0.53342623898395
Handcrafted radiomics only,380,0.5364748572617228,0.5331618598222785,0.5552485094185742
Custom kinetics + spatial,396,0.3350430924120324,0.3001595630018102,0.5327164257366248
Context + optimal transport only,78,0.4768793508140559,0.4678020021511716,0.5283176599037336
All except handcrafted radiomics,520,0.4671228038031714,0.4582885791168832,0.5171834103588041
All inference-safe features,900,0.4921554384961095,0.4816316194133917,0.551790413298177
